_id,event,participantId,timestamp,appName,category,sceneName,eventName,deviceId,turnsCompleted,timeTakenToComplete,totalTurnsCompleted,gamesCompleted,timeTakenInGame,timeSpentInGame,version
65446555a37666f0d1b7cb96,,27,2023-11-03 03:13:25.111,Top Of The Class,Event,Main Menu,Player Chose Online Mode,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
65446556a37666f0d1b7cb98,,28,2023-11-03 03:13:26.977,Top Of The Class,Event,Lobby,App Started,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544657fa37666f0d1b7cb9a,,27,2023-11-03 03:14:07.869,Top Of The Class,Event,Online,Player: 0 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,0.0,0.0,,,,,
6544657fa37666f0d1b7cb9c,,27,2023-11-03 03:14:07.878,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
65446597a37666f0d1b7cb9e,,27,2023-11-03 03:14:31.693,Top Of The Class,Event,Online,Player: 1 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,50.80143356323242,,,,,
65446597a37666f0d1b7cba0,,27,2023-11-03 03:14:31.702,Top Of The Class,Event,Online,Player: 1 Turn Over,a80095a8e4b8888d1253888a2af5e964b7d61364,1.0,0.0,,,,,
65446597a37666f0d1b7cba2,,27,2023-11-03 03:14:31.764,Top Of The Class,Event,Online,Player: 0 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,0.0,,,,,
654465a2a37666f0d1b7cba4,,27,2023-11-03 03:14:42.411,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,61.52022933959961,,,,,
654465a2a37666f0d1b7cba7,,27,2023-11-03 03:14:42.424,Top Of The Class,Event,Online,"Game Finished, First to Last Place: Player: 1, ",a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,61.52022933959961,,,,,
654465a2a37666f0d1b7cba8,,27,2023-11-03 03:14:42.425,Top Of The Class,Event,Online,Player: 0 Completed Game,a80095a8e4b8888d1253888a2af5e964b7d61364,2.0,61.52022933959961,,,,,
654465a2a37666f0d1b7cbaa,,27,2023-11-03 03:14:42.490,Top Of The Class,Event,Online,Player: 1 Turn Start,a80095a8e4b8888d1253888a2af5e964b7d61364,3.0,0.0,,,,,
